batch,file,sequence_count,residue_count,rank_range,under_100k,strains
1,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH01_ranks1_22.fasta.txt,22,83563,1-22,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
2,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH02_ranks23_41.fasta.txt,19,82618,23-41,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
3,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH03_ranks42_64.fasta.txt,23,77881,42-64,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
4,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH04_ranks65_87.fasta.txt,23,83285,65-87,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
5,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH05_ranks88_138.fasta.txt,51,84117,88-138,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
6,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH06_ranks139_215.fasta.txt,77,84941,139-215,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
7,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH07_ranks216_381.fasta.txt,166,84329,216-381,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
8,fasta/ALL_STRAINS_RANKED_NCBI_85K_BATCH08_ranks382_391.fasta.txt,10,6085,382-391,True,AS-XXX;AS-XXX;AS-XXX;AS-XXX;AS-XXX
